student_id,n_places,n_activities,n_weather,n_moods,n_countries,activity_entropy,weather_entropy,mood_entropy,primary_activity,primary_weather,primary_mood,avg_desc_length,cluster,pca_1,pca_2,tsne_1,tsne_2,archetype
1220187,10,3,3,2,10,0.639031859650177,0.639031859650177,0.3250829733914482,Nature,Sunny,Relaxing,176.6,0,0.8578927220640495,-0.19278543713446816,-2.121725,-0.43103954,🥾 Nature Adventurer
1220194,10,2,1,4,10,0.6108643020548935,0.0,1.0888999753452235,Nature,Sunny,Relaxing,300.3,4,0.9132951542051838,0.5686770433594684,2.9804971,-0.65699595,🥾 Nature Adventurer
1220200,9,4,2,3,8,1.3689223607402192,0.34883209584303193,0.6837389058487535,Nature,Sunny,Relaxing,55.888888888888886,4,-0.9743169286321747,2.0984719355745423,1.9601432,2.3501573,🥾 Nature Adventurer
1220203,10,3,2,1,9,0.8979457248567798,0.3250829733914482,0.0,Nature,Sunny,Relaxing,172.4,0,-1.244992667600296,-0.7336348326869985,-1.7148439,2.813709,🥾 Nature Adventurer
1220212,10,4,2,2,10,1.1682824501765625,0.6730116670092565,0.3250829733914482,Nature,Sunny,Relaxing,146.2,0,-0.4713160073442267,1.2271899242463025,-0.22309671,2.8286777,🥾 Nature Adventurer
1220214,10,2,3,3,9,0.5004024235381879,0.639031859650177,0.639031859650177,Nature,Sunny,Relaxing,208.5,3,1.862298975436523,-0.48976990138190074,-1.3062913,-2.7375371,🎯 Focused Traveler (Nature)
1220216,10,4,1,1,5,0.9404479886553264,0.0,0.0,Leisure/Other,Sunny,Relaxing,15.0,1,-3.7165712833243125,-0.5526543965773981,0.7972182,5.3456106,🎯 Focused Traveler (Nature)
1220251,10,1,2,2,9,0.0,0.6108643020548935,0.6730116670092565,Nature,Sunny,Inpsiring,71.1,3,1.3043432713514564,-1.993495350289047,1.8726164,-4.4757123,🎯 Focused Traveler (Nature)
1220438,9,3,1,4,9,1.0608569471580214,0.0,1.1490596969706204,Urban,Sunny,Relaxing,142.77777777777777,4,-0.27707455444050527,1.9706316255248888,3.1505082,0.8657363,🥾 Nature Adventurer
1220439,9,4,1,1,8,1.3689223607402192,0.0,0.0,Nature,Sunny,Relaxing,22.88888888888889,0,-3.52848036325291,0.6145716382971165,-0.13790008,5.0184665,🥾 Nature Adventurer
1220447,10,4,4,3,10,0.9404479886553264,1.0888999753452235,0.8018185525433373,Nature,Sunny,Relaxing,189.0,3,2.37908212042926,1.7454485974456104,-1.6021433,-1.706796,🎯 Focused Traveler (Nature)
1220458,10,3,2,1,9,0.8018185525433373,0.6730116670092565,0.0,Nature,Sunny,Relaxing,59.7,0,-0.9290023782252995,-0.70265243071682,-2.8146684,2.6912699,🥾 Nature Adventurer
1220481,16,1,3,4,10,0.0,0.6019239717322894,1.040839837423239,Nature,Sunny,Relaxing,211.5,3,3.468584961567326,-0.829525504812015,-0.09946039,-4.508317,🎯 Focused Traveler (Nature)
1220523,10,4,1,3,10,1.193549604098133,0.0,0.9433483923290391,History,Sunny,Romantic,105.7,4,-1.186956267761721,2.381189108376857,3.2276847,2.0751944,🥾 Nature Adventurer
1220619,10,2,4,3,10,0.5004024235381879,0.9404479886553264,0.639031859650177,Nature,Sunny,Relaxing,337.9,3,3.360747138913569,-0.5072937599403777,-2.312824,-3.6513438,🎯 Focused Traveler (Nature)
1220623,10,2,3,2,10,0.3250829733914482,0.8018185525433373,0.5004024235381879,Nature,Sunny,Relaxing,160.1,3,1.7952902695543127,-1.0471468614573889,-2.289787,-2.5211902,🎯 Focused Traveler (Nature)
1220641,10,3,2,1,10,0.9502705392332347,0.3250829733914482,0.0,Nature,Sunny,Relaxing,91.9,0,-1.3140164366617682,-0.3473992571489022,-2.026595,3.1746955,🥾 Nature Adventurer
1220808,10,3,3,2,9,0.639031859650177,0.8018185525433373,0.3250829733914482,Nature,Sunny,Relaxing,111.6,0,0.7644737001833443,-0.2710222650533371,-2.7213387,-0.6705478,🥾 Nature Adventurer
1220829,10,2,3,1,7,0.5004024235381879,0.639031859650177,0.0,Nature,Sunny,Relaxing,46.0,0,-0.24438591311190672,-2.0706161201163993,-4.257802,0.6250479,🥾 Nature Adventurer
1220847,10,2,4,2,9,0.3250829733914482,0.9404479886553264,0.3250829733914482,Nature,Sunny,Relaxing,171.8,3,2.2465323619059525,-1.4188387370097733,-2.9672914,-2.599895,🎯 Focused Traveler (Nature)
1220848,10,4,2,3,10,1.1682824501765625,0.5004024235381879,0.8018185525433373,Nature,Sunny,Relaxing,183.4,4,0.19160505730870583,2.0765825267467655,1.492972,1.2283175,🥾 Nature Adventurer
1220857,10,3,2,2,10,0.8018185525433373,0.3250829733914482,0.3250829733914482,Nature,Sunny,Relaxing,115.0,0,-0.45121184189603647,0.13993563784865581,-0.7495726,1.4802345,🥾 Nature Adventurer
1220869,10,3,3,4,9,1.0888999753452238,0.8018185525433373,1.0888999753452235,History,Sunny,Relaxing,71.1,4,1.767649644624592,2.079060094257175,0.4584669,-1.6143813,🥾 Nature Adventurer
1220871,10,3,2,3,10,0.8018185525433373,0.5004024235381879,0.639031859650177,Nature,Sunny,Relaxing,158.6,4,0.5898984930015803,0.802459244875685,0.17690353,-0.036455445,🥾 Nature Adventurer
1220911,10,3,1,2,9,0.639031859650177,0.0,0.5004024235381879,Nature,Sunny,Relaxing,64.2,1,-1.4897381304875794,-0.02611279393342733,4.465666,0.19821273,🎯 Focused Traveler (Nature)
1221026,10,3,3,1,10,1.0296530140645737,0.8018185525433373,0.0,Nature,Sunny,Relaxing,80.0,0,-0.14505279702811946,-0.2029047460036106,-3.608347,2.209379,🥾 Nature Adventurer
1221036,10,2,1,2,8,0.5004024235381879,0.0,0.3250829733914482,Nature,Sunny,Relaxing,137.1,1,-1.2223147216846684,-1.307973304937291,4.920092,-0.81476396,🎯 Focused Traveler (Nature)
1221044,10,4,2,1,9,1.1682824501765625,0.5004024235381879,0.0,Nature,Sunny,Relaxing,75.0,0,-1.7612046237107475,0.41730420539414803,-1.1820301,4.025961,🥾 Nature Adventurer
1221054,9,3,2,2,6,0.8486855577264172,0.6365141682948128,0.34883209584303193,Nature,Sunny,Relaxing,145.88888888888889,1,-0.6235516971968609,-0.5368901395584647,-4.113849,-0.46626228,🎯 Focused Traveler (Nature)
1221332,9,4,1,3,8,1.1490596969706204,0.0,0.8486855577264172,Nature,Sunny,Relaxing,167.11111111111111,4,-1.435156322910762,1.7576507980864315,3.8004484,1.9197432,🥾 Nature Adventurer
1221350,6,4,2,1,4,1.3296613488547582,0.45056120886630463,0.0,Leisure/Other,Sunny,Relaxing,65.66666666666667,1,-2.8601492978692016,-0.2236058318634939,0.5705869,5.5716796,🎯 Focused Traveler (Nature)
1221574,9,2,2,1,8,0.6365141682948128,0.34883209584303193,0.0,Nature,Sunny,Relaxing,86.22222222222223,1,-1.0698691755429017,-1.7609165349009919,4.151862,-2.2625265,🎯 Focused Traveler (Nature)
1221697,8,3,3,2,7,0.7356219397587946,0.9002560512685369,0.37677016125643675,Nature,Sunny,Relaxing,146.75,0,0.6196273439573438,-0.4885935629437268,-3.5881698,-0.8040945,🥾 Nature Adventurer
1221899,10,2,4,4,10,0.5004024235381879,0.9404479886553264,0.9404479886553264,Nature,Sunny,Relaxing,122.5,3,3.4871819186642847,0.5574813239573174,-1.2452706,-3.8783646,🎯 Focused Traveler (Nature)
1221916,9,4,1,3,9,1.2730283365896258,0.0,0.8486855577264172,Nature,Sunny,Relaxing,196.88888888888889,4,-1.2895776488151232,2.0752250795755445,3.461623,1.9673386,🥾 Nature Adventurer
1222332,10,3,3,3,10,0.639031859650177,0.639031859650177,0.639031859650177,Nature,Sunny,Relaxing,106.0,3,1.355441634285116,0.6543156054963728,-1.0621628,-1.1213547,🎯 Focused Traveler (Nature)
