k,metric,weights,country_accuracy,country_f1_macro,country_f1_weighted,time_accuracy,time_f1_macro,time_f1_weighted,activity_accuracy,activity_f1_macro,activity_f1_weighted,avg_accuracy
7,euclidean,distance,0.7037037037037037,0.6645066738816738,0.6966688807958649,0.5185185185185185,0.3689569784373211,0.5080249227982196,0.6613756613756614,0.5849438971404386,0.6544635000523641,0.6278659611992946
7,manhattan,uniform,0.656084656084656,0.5829540641823829,0.6410956515240956,0.5132275132275133,0.36441194190718107,0.5024144117232502,0.6613756613756614,0.5861423879896785,0.6524612545255285,0.6102292768959435
7,manhattan,distance,0.6931216931216931,0.6466664555196769,0.6858408315326472,0.4973544973544973,0.35928829632411624,0.4918708886409933,0.671957671957672,0.6063606277328446,0.6651649289142695,0.6208112874779541
7,minkowski,uniform,0.671957671957672,0.6215632697933899,0.6621284037169766,0.5291005291005291,0.3715201022381873,0.5151897100985247,0.656084656084656,0.5697456265417431,0.6465704019102078,0.619047619047619
7,minkowski,distance,0.7037037037037037,0.6645066738816738,0.6966688807958649,0.5185185185185185,0.3689569784373211,0.5080249227982196,0.6613756613756614,0.5849438971404386,0.6544635000523641,0.6278659611992946
9,cosine,uniform,0.6031746031746031,0.6138021872348498,0.6003089369446438,0.5291005291005291,0.37170911663634526,0.5158397104546285,0.6296296296296297,0.5491595441595442,0.6176849213886251,0.5873015873015873
9,cosine,distance,0.6190476190476191,0.6273493457582264,0.6192964714793171,0.5396825396825397,0.3823232323232323,0.5284164395275507,0.656084656084656,0.5722987366239563,0.6431724765664546,0.6049382716049382
9,euclidean,uniform,0.6666666666666666,0.6039652026282063,0.6545484314164726,0.5026455026455027,0.35535236822001526,0.49169213139801377,0.6402116402116402,0.5384185205613777,0.6200230032429579,0.6031746031746031
9,euclidean,distance,0.7037037037037037,0.6595981604686659,0.6980359272794657,0.49206349206349204,0.3522561603535084,0.4842504221676625,0.6613756613756614,0.5559751028000343,0.642117692739177,0.6190476190476191
9,manhattan,uniform,0.671957671957672,0.5896495291174464,0.6540782629553528,0.5079365079365079,0.3563568010936432,0.49396651802666836,0.6613756613756614,0.5742907201730731,0.6474057565125103,0.6137566137566138
9,manhattan,distance,0.7195767195767195,0.6891709506586268,0.7173018011567828,0.49206349206349204,0.34974509426702577,0.4814140969970135,0.6772486772486772,0.6015226809378186,0.6641215906455459,0.6296296296296297
9,minkowski,uniform,0.6666666666666666,0.6039652026282063,0.6545484314164726,0.5026455026455027,0.35535236822001526,0.49169213139801377,0.6402116402116402,0.5384185205613777,0.6200230032429579,0.6031746031746031
9,minkowski,distance,0.7037037037037037,0.6595981604686659,0.6980359272794657,0.49206349206349204,0.3522561603535084,0.4842504221676625,0.6613756613756614,0.5559751028000343,0.642117692739177,0.6190476190476191
11,cosine,uniform,0.6137566137566137,0.6027563364097314,0.6081233429189208,0.544973544973545,0.3831209546925566,0.5303143353709696,0.6613756613756614,0.5905253086539268,0.6506899628386331,0.6067019400352733
11,cosine,distance,0.6243386243386243,0.6347522622529354,0.6239570374991408,0.5502645502645502,0.3894882057597575,0.53779427332383,0.6507936507936508,0.5693976921078119,0.6368064765414352,0.6084656084656084
11,euclidean,uniform,0.6878306878306878,0.6214174534756431,0.6700426871472301,0.5291005291005291,0.35494853872420923,0.5020512325929386,0.6666666666666666,0.5450362492724075,0.6407360997105214,0.6278659611992944
11,euclidean,distance,0.7248677248677249,0.6742935672280947,0.7149253881333002,0.5291005291005291,0.38168597706641183,0.5200148770024546,0.6772486772486772,0.5710512884425928,0.656337120105236,0.6437389770723104
11,manhattan,uniform,0.6613756613756614,0.5976711026603876,0.6460505085076879,0.5079365079365079,0.34874212379540404,0.4873000184341919,0.6666666666666666,0.5632113422069027,0.6456794370223893,0.6119929453262786
11,manhattan,distance,0.6984126984126984,0.645599462902797,0.6896801813756265,0.5026455026455027,0.3565354739267783,0.4901286218056405,0.6825396825396826,0.5910995505196404,0.6656673083589427,0.6278659611992945
11,minkowski,uniform,0.6878306878306878,0.6214174534756431,0.6700426871472301,0.5291005291005291,0.35494853872420923,0.5020512325929386,0.6666666666666666,0.5450362492724075,0.6407360997105214,0.6278659611992944
11,minkowski,distance,0.7248677248677249,0.6742935672280947,0.7149253881333002,0.5291005291005291,0.38168597706641183,0.5200148770024546,0.6772486772486772,0.5710512884425928,0.656337120105236,0.6437389770723104
