hidden_layers,dropout_rate,learning_rate,batch_size,country_accuracy,country_f1_macro,country_f1_weighted,time_accuracy,time_f1_macro,time_f1_weighted,activity_accuracy,activity_f1_macro,activity_f1_weighted,avg_accuracy
"(256, 128)",0.4,0.001,32,0.746031746031746,0.7409659130040449,0.749360730126836,0.5238095238095238,0.3919214737944925,0.5344698689479715,0.7037037037037037,0.6598638332989478,0.7055727483208398,0.6578483245149912
"(256, 128)",0.5,0.001,32,0.7354497354497355,0.7235036819498681,0.7340674826945061,0.5343915343915344,0.3960028378285391,0.5391497092651918,0.7301587301587301,0.6804878727191812,0.7289118000956007,0.6666666666666666
"(512, 256)",0.2,0.001,32,0.7407407407407407,0.746712207401655,0.7483382324042548,0.5291005291005291,0.3927714932126697,0.5358943235413823,0.6825396825396826,0.6325604363224062,0.6845878692663918,0.6507936507936508
"(512, 256)",0.3,0.001,32,0.7513227513227513,0.7521392235654347,0.7505110889103104,0.5079365079365079,0.3802487462050689,0.5144958493488325,0.7142857142857143,0.6759768095645958,0.7154663778921625,0.6578483245149912
"(512, 256)",0.4,0.001,32,0.7248677248677249,0.7324359727348343,0.7250175082165717,0.5767195767195767,0.4187326803631152,0.5765884770853714,0.6931216931216931,0.6436186740594572,0.691883775226188,0.6649029982363316
"(512, 256)",0.5,0.001,32,0.746031746031746,0.7384653660299276,0.7457700420047447,0.5185185185185185,0.38240244446082505,0.5239280699337072,0.6984126984126984,0.6448900198900199,0.6998043188519381,0.654320987654321
"(512,)",0.3,0.0001,16,0.7883597883597884,0.7785746631368229,0.7846740320136455,0.5502645502645502,0.39955967203158216,0.5501697524169434,0.7301587301587301,0.6812781023776666,0.7277840073207845,0.689594356261023
"(512,)",0.3,0.0001,32,0.7513227513227513,0.7354121631430469,0.7453735608296538,0.5608465608465608,0.4151193633952255,0.5652229847632146,0.7142857142857143,0.6667012175606477,0.7113903634846522,0.6754850088183422
"(512,)",0.3,0.0001,64,0.7619047619047619,0.749520099915466,0.7560482114668414,0.5555555555555556,0.401819415812549,0.5533961614287388,0.7354497354497355,0.685794504451575,0.7303363005717596,0.6843033509700177
"(512,)",0.3,0.0001,128,0.7671957671957672,0.7545153223002488,0.7611460175885946,0.5714285714285714,0.4177858301835917,0.5722002478044542,0.7037037037037037,0.6506493506493507,0.6975331546760117,0.6807760141093474
"(512,)",0.3,0.001,16,0.7513227513227513,0.7467201575657458,0.7524795938116822,0.5343915343915344,0.3926475931461956,0.5400817961929133,0.6931216931216931,0.6476892940604325,0.6923113876139689,0.6596119929453262
"(512,)",0.3,0.001,64,0.7566137566137566,0.7524858372821602,0.7574084781435351,0.5502645502645502,0.4060649544512335,0.5527206414811915,0.7142857142857143,0.6706595428088455,0.7146209471378424,0.6737213403880071
"(512,)",0.3,0.001,128,0.7566137566137566,0.7587113971282655,0.7551917183697944,0.5396825396825397,0.3997781077841008,0.5426383111543287,0.6984126984126984,0.6479547449916194,0.6973004428667292,0.6649029982363316
"(512,)",0.3,0.01,16,0.7354497354497355,0.736249819244714,0.7394392759751435,0.5238095238095238,0.37891006842619745,0.5244379276637341,0.6984126984126984,0.6423975257566326,0.693347623181134,0.6525573192239859
"(512,)",0.3,0.01,32,0.7513227513227513,0.741774114043851,0.752668746210935,0.5978835978835979,0.4380541728241425,0.5968333804531984,0.7354497354497355,0.686976911976912,0.7347770982691618,0.6948853615520282
"(512,)",0.3,0.01,64,0.7248677248677249,0.7321334214728724,0.7237437221618087,0.5343915343915344,0.38214494462415977,0.5311867573811926,0.7142857142857143,0.6758466922882393,0.7161726982942692,0.6578483245149912
"(512,)",0.3,0.01,128,0.7407407407407407,0.7372417269621216,0.7403269438566012,0.5555555555555556,0.40059212529702176,0.5516046155263337,0.6931216931216931,0.6231481481481482,0.6901644309051718,0.6631393298059964
"(512,)",0.3,0.1,16,0.6825396825396826,0.6405973046736135,0.6800582031486316,0.544973544973545,0.37343403865250935,0.5253197095302359,0.6825396825396826,0.6433212442458338,0.681677989143134,0.63668430335097
